"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Station_Number","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate","Sample_Index"
"vi201027.001","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,1
"vi201027.002","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,2
"vi201027.003","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,3
"vi201027.004","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,4
"vi201027.005","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,5
"vi201027.006","Viruses",2020-10-27,"NJ",NA,2,0,"E_Conc",NA,NA,180,100,40,6
"vi201027.007","Viruses",2020-10-27,"NJ",NA,4,0,"E_Conc",NA,NA,180,100,40,7
"vi201027.008","Viruses",2020-10-27,"NJ",NA,5,0,"E_Conc",NA,NA,180,100,40,8
"vi201027.009","Viruses",2020-10-27,"NJ",NA,6,0,"E_Conc",NA,NA,180,100,40,9
"vi201027.010","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,10
"vi201027.011","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,11
"vi201027.013","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,12
"vi201027.014","Viruses",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,13
"ba201027.002","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,14
"ba201027.003","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,15
"ba201027.004","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,16
"ba201027.005","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,17
"ba201027.006","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,18
"ba201027.007","Bacteria",2020-10-27,"NJ",NA,2,0,"E_Conc",NA,NA,180,10,40,19
"ba201027.008","Bacteria",2020-10-27,"NJ",NA,4,0,"E_Conc",NA,NA,180,10,40,20
"ba201027.009","Bacteria",2020-10-27,"NJ",NA,5,0,"E_Conc",NA,NA,180,10,40,21
"ba201027.010","Bacteria",2020-10-27,"NJ",NA,6,0,"E_Conc",NA,NA,180,10,40,22
"ba201027.011","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,23
"ba201027.012","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,24
"ba201027.013","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,25
"ba201027.014","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,26
"ba201027.015","Bacteria",2020-10-27,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,27
"vi201028.001","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,28
"vi201028.002","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,29
"vi201028.003","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,30
"vi201028.004","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,31
"vi201028.005","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,32
"vi201028.006","Viruses",2020-10-28,"NJ",NA,1,0,"E_WW",NA,NA,180,1000,40,33
"vi201028.007","Viruses",2020-10-28,"NJ",NA,2,0,"E_WW",NA,NA,180,1000,40,34
"vi201028.008","Viruses",2020-10-28,"NJ",NA,4,0,"E_WW",NA,NA,180,1000,40,35
"vi201028.009","Viruses",2020-10-28,"NJ",NA,5,0,"E_WW",NA,NA,180,1000,40,36
"vi201028.010","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,37
"vi201028.011","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,38
"vi201028.012","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,39
"vi201028.013","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,40
"vi201028.014","Viruses",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,41
"vi201028.015","Viruses",2020-10-28,"NJ",NA,6,0,"E_WW",NA,NA,180,1000,40,42
"vi201028.016","Viruses",2020-10-28,"NJ",NA,7,0,"E_WW",NA,NA,180,1000,40,43
"ba201028.010","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,44
"ba201028.011","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,45
"ba201028.013","Bacteria",2020-10-28,"NJ",NA,1,0,"E_WW",NA,NA,180,100,40,46
"ba201028.014","Bacteria",2020-10-28,"NJ",NA,2,0,"E_WW",NA,NA,180,100,40,47
"ba201028.015","Bacteria",2020-10-28,"NJ",NA,4,0,"E_WW",NA,NA,180,100,40,48
"ba201028.016","Bacteria",2020-10-28,"NJ",NA,5,0,"E_WW",NA,NA,180,100,40,49
"ba201028.019","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,50
"ba201028.020","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,51
"ba201028.021","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,52
"ba201028.022","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,53
"ba201028.023","Bacteria",2020-10-28,"NJ",NA,NA,0,"TE",NA,NA,60,NA,40,54
"ba201028.024","Bacteria",2020-10-28,"NJ",NA,6,0,"E_WW",NA,NA,60,10,40,55
"ba201028.025","Bacteria",2020-10-28,"NJ",NA,7,0,"E_WW",NA,NA,60,10,40,56
